"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","informe","type","id","name","parcial","admin_level","historic:admin_level","nObjectesEditat","nCasosEditat","nObjectesNomWikidataEditat","nCasosNomWikidataEditat"
"Franja","Baix Aragó",9,3,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Franja-Baix Aragó_name-plaza.tsv","relation",6630546,"Bajo Aragón",TRUE,7,0,13,6,0,0
"Illes","Menorca",3,3,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Illes-Menorca_name-plaza.tsv","relation",2182003,"Menorca",FALSE,7,0,0,0,0,0
"Principat","Baix Camp",3,3,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Principat-Baix Camp_name-plaza.tsv","relation",2824935,"Baix Camp",FALSE,7,0,0,0,0,0
"Principat","Vallès Occidental",3,3,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Principat-Vallès Occidental_name-plaza.tsv","relation",2350067,"Vallès Occidental",FALSE,7,0,0,0,0,0
"Illes","Eivissa",2,2,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Illes-Eivissa_name-plaza.tsv","relation",2181664,"Eivissa",FALSE,7,0,0,0,0,0
"PV","els Ports",2,2,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-els Ports_name-plaza.tsv","relation",1110951,"els Ports",TRUE,7,0,1,1,0,0
"Principat","Alt Empordà",2,2,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Principat-Alt Empordà_name-plaza.tsv","relation",2177382,"Alt Empordà",FALSE,7,0,0,0,0,0
"CatNord","Rosselló",1,1,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-CatNord-Rosselló_name-plaza.tsv","relation",13433228,"Rosselló",FALSE,0,7,0,0,0,0
"Illes","Migjorn",3,1,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Illes-Migjorn_name-plaza.tsv","relation",2174950,"Migjorn",FALSE,7,0,0,0,0,0
"PV","el Baix Segura",2,1,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-el Baix Segura_name-plaza.tsv","relation",1692447,"el Baix Segura / La Vega Baja del Segura",TRUE,7,0,0,0,0,0
"Principat","Bages",1,1,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Principat-Bages_name-plaza.tsv","relation",2350331,"Bages",FALSE,7,0,0,0,0,0
"Principat","Selva",1,1,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Principat-Selva_name-plaza.tsv","relation",368462,"Selva",FALSE,7,0,0,0,0,0
"Principat","Vallès Oriental",1,1,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Principat-Vallès Oriental_name-plaza.tsv","relation",2417929,"Vallès Oriental",FALSE,7,0,0,0,0,0
"Andorra","Andorra la Vella",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Andorra-Andorra la Vella_name-plaza.tsv","relation",2804753,"Andorra la Vella",FALSE,7,0,0,0,0,0
"Andorra","Canillo",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Andorra-Canillo_name-plaza.tsv","relation",2804754,"Canillo",FALSE,7,0,0,0,0,0
"Andorra","Encamp",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Andorra-Encamp_name-plaza.tsv","relation",2804755,"Encamp",FALSE,7,0,0,0,0,0
"Andorra","Escaldes-Engordany",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Andorra-Escaldes-Engordany_name-plaza.tsv","relation",2804756,"Escaldes-Engordany",FALSE,7,0,0,0,0,0
"Andorra","La Massana",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Andorra-La Massana_name-plaza.tsv","relation",2804757,"La Massana",FALSE,7,0,0,0,0,0
"Andorra","Ordino",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Andorra-Ordino_name-plaza.tsv","relation",2804758,"Ordino",FALSE,7,0,0,0,0,0
"Andorra","Sant Julià de Lòria",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Andorra-Sant Julià de Lòria_name-plaza.tsv","relation",2804759,"Sant Julià de Lòria",FALSE,7,0,0,0,0,0
"CatNord","Alta Cerdanya",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-CatNord-Alta Cerdanya_name-plaza.tsv","relation",13433224,"Alta Cerdanya",FALSE,0,7,0,0,0,0
"CatNord","Capcir",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-CatNord-Capcir_name-plaza.tsv","relation",13433227,"Capcir",FALSE,0,7,0,0,0,0
"CatNord","Conflent",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-CatNord-Conflent_name-plaza.tsv","relation",13433226,"Conflent",FALSE,0,7,0,0,0,0
"CatNord","Vallespir",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-CatNord-Vallespir_name-plaza.tsv","relation",13433225,"Vallespir",FALSE,0,7,0,0,0,0
"Illes","Formentera",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Illes-Formentera_name-plaza.tsv","relation",6914328,"Formentera",FALSE,7,0,0,0,0,0
"Illes","Llevant",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Illes-Llevant_name-plaza.tsv","relation",2176079,"Llevant",FALSE,7,0,0,0,0,0
"Illes","Pla de Mallorca",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Illes-Pla de Mallorca_name-plaza.tsv","relation",2175937,"Pla de Mallorca",FALSE,7,0,0,0,0,0
"Illes","Raiguer",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Illes-Raiguer_name-plaza.tsv","relation",2175689,"Raiguer",FALSE,7,0,0,0,0,0
"Múrcia","el Carxe",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Múrcia-el Carxe_name-plaza.tsv","relation",11755232,"El Carche",FALSE,0,0,1,1,0,0
"Principat","Alt Camp",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Alt Camp_name-plaza.tsv","relation",2822130,"Alt Camp",FALSE,7,0,0,0,0,0
"Principat","Alt Penedès",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Alt Penedès_name-plaza.tsv","relation",2809672,"Alt Penedès",FALSE,7,0,0,0,0,0
"Principat","Alt Urgell",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Alt Urgell_name-plaza.tsv","relation",2810001,"Alt Urgell",FALSE,7,0,0,0,0,0
"Principat","Alta Ribagorça",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Alta Ribagorça_name-plaza.tsv","relation",2810808,"Alta Ribagorça",FALSE,7,0,0,0,0,0
"Principat","Anoia",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Anoia_name-plaza.tsv","relation",2808804,"Anoia",FALSE,7,0,0,0,0,0
"Principat","Baix Ebre",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Baix Ebre_name-plaza.tsv","relation",2826423,"Baix Ebre",FALSE,7,0,0,0,0,0
"Principat","Baix Empordà",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Baix Empordà_name-plaza.tsv","relation",2805694,"Baix Empordà",FALSE,7,0,0,0,0,0
"Principat","Baix Penedès",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Baix Penedès_name-plaza.tsv","relation",2822410,"Baix Penedès",FALSE,7,0,0,0,0,0
"Principat","Berguedà",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Berguedà_name-plaza.tsv","relation",358838,"Berguedà",FALSE,7,0,0,0,0,0
"Principat","Cerdanya",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Cerdanya_name-plaza.tsv","relation",2805972,"Cerdanya",FALSE,7,0,0,0,0,0
"Principat","Conca de Barberà",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Conca de Barberà_name-plaza.tsv","relation",2822039,"Conca de Barberà",FALSE,7,0,0,0,0,0
"Principat","Garraf",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Garraf_name-plaza.tsv","relation",2809538,"Garraf",FALSE,7,0,0,0,0,0
"Principat","Garrigues",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Garrigues_name-plaza.tsv","relation",2819870,"Garrigues",FALSE,7,0,0,0,0,0
"Principat","Garrotxa",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Garrotxa_name-plaza.tsv","relation",2806999,"Garrotxa",FALSE,7,0,0,0,0,0
"Principat","Gironès",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Gironès_name-plaza.tsv","relation",2807130,"Gironès",FALSE,7,0,0,0,0,0
"Principat","Maresme",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Maresme_name-plaza.tsv","relation",2140187,"Maresme",FALSE,7,0,0,0,0,0
"Principat","Moianès",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Moianès_name-plaza.tsv","relation",4791885,"Moianès",FALSE,7,0,0,0,0,0
"Principat","Montsià",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Montsià_name-plaza.tsv","relation",2827413,"Montsià",FALSE,7,0,0,0,0,0
"Principat","Noguera",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Noguera_name-plaza.tsv","relation",2816276,"Noguera",FALSE,7,0,0,0,0,0
"Principat","Osona",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Osona_name-plaza.tsv","relation",2422857,"Osona",FALSE,7,0,0,0,0,0
"Principat","Pallars Jussà",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Pallars Jussà_name-plaza.tsv","relation",2810954,"Pallars Jussà",FALSE,7,0,0,0,0,0
"Principat","Pallars Sobirà",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Pallars Sobirà_name-plaza.tsv","relation",2810705,"Pallars Sobirà",FALSE,7,0,0,0,0,0
"Principat","Pla d'Urgell",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Pla d'Urgell_name-plaza.tsv","relation",2819346,"Pla d'Urgell",FALSE,7,0,0,0,0,0
"Principat","Pla de l'Estany",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Pla de l'Estany_name-plaza.tsv","relation",2807146,"Pla de l'Estany",FALSE,7,0,0,0,0,0
"Principat","Priorat",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Priorat_name-plaza.tsv","relation",2826145,"Priorat",FALSE,7,0,0,0,0,0
"Principat","Ribera d'Ebre",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Ribera d'Ebre_name-plaza.tsv","relation",2829952,"Ribera d'Ebre",FALSE,7,0,0,0,0,0
"Principat","Ripollès",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Ripollès_name-plaza.tsv","relation",2806754,"Ripollès",FALSE,7,0,0,0,0,0
"Principat","Segarra",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Segarra_name-plaza.tsv","relation",2815579,"Segarra",FALSE,7,0,0,0,0,0
"Principat","Segrià",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Segrià_name-plaza.tsv","relation",2819857,"Segrià",FALSE,7,0,0,0,0,0
"Principat","Solsonès",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Solsonès_name-plaza.tsv","relation",2809162,"Solsonès",FALSE,7,0,0,0,0,0
"Principat","Tarragonès",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Tarragonès_name-plaza.tsv","relation",2822691,"Tarragonès",FALSE,7,0,2,2,0,0
"Principat","Terra Alta",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Terra Alta_name-plaza.tsv","relation",2829953,"Terra Alta",FALSE,7,0,0,0,0,0
"Principat","Urgell",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Principat-Urgell_name-plaza.tsv","relation",2818895,"Urgell",FALSE,7,0,0,0,0,0
"Sardenya","L'Alguer",0,0,0,0,TRUE,"PPCC/plaza-plaça/informes/informe-Sardenya-L'Alguer_name-plaza.tsv","relation",40581,"Alghero - L'Alguer",FALSE,8,0,0,0,0,0
