"Carrer de Jacint Verdaguer"	"Carrer de Jacint Verdaguer"			""	""	""	""	"way"	" 192051280"	"name:etymology:wikidata=Q379290"	"{'highway': 'residential', 'name': 'Carrer de Jacint Verdaguer', 'name:etymology:wikidata': 'Q379290'}"
"Carrer de l'Anoia"	"Carrer de l'Anoia"			""	""	""	""	"way"	" 157558988"	""	"{'highway': 'residential', 'name': \"Carrer de l'Anoia\"}"
"Carrer de l'Escultura"	"Carrer de l'Escultura"			""	""	""	""	"way"	" 157570447"	""	"{'highway': 'residential', 'name': \"Carrer de l'Escultura\"}"
"Carrer de l'Escultura"	"Carrer de l'Escultura"			""	""	""	""	"way"	" 107063796"	""	"{'highway': 'residential', 'name': \"Carrer de l'Escultura\"}"
"Carrer de l'Om"	"Carrer de l'Om"			""	""	""	""	"way"	" 157559015"	""	"{'highway': 'residential', 'name': \"Carrer de l'Om\", 'oneway': 'no'}"
"Carrer de la Bonavista"	"Carrer de la Bonavista"			""	""	""	""	"way"	" 157558857"	""	"{'highway': 'residential', 'name': 'Carrer de la Bonavista', 'oneway': 'no'}"
"Carrer de la Costa del Pla"	"Carrer de la Costa del Pla"			""	""	""	""	"way"	" 669397380"	""	"{'highway': 'residential', 'name': 'Carrer de la Costa del Pla'}"
"Carrer de la Dansa"	"Carrer de la Dansa"			""	""	""	""	"way"	" 157558980"	""	"{'highway': 'residential', 'name': 'Carrer de la Dansa', 'oneway': 'yes'}"
"Carrer de la Font"	"Carrer de la Font"			""	""	""	""	"way"	" 157558971"	""	"{'highway': 'residential', 'name': 'Carrer de la Font', 'oneway': 'yes'}"
"Carrer de la Font"	"Carrer de la Font"			""	""	""	""	"way"	" 157558888"	""	"{'highway': 'residential', 'name': 'Carrer de la Font', 'oneway': 'no'}"
"Carrer de la Música"	"Carrer de la Música"			""	""	""	""	"way"	" 157558930"	""	"{'highway': 'residential', 'name': 'Carrer de la Música', 'oneway': 'no'}"
"Carrer de la Pintura"	"Carrer de la Pintura"			""	""	""	""	"way"	" 797350514"	""	"{'highway': 'residential', 'name': 'Carrer de la Pintura', 'oneway': 'yes'}"
