"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","informe","id","type","name","parcial","admin_level","historic:admin_level","nCasosEditat","nObjectesEditat","nObjectesNomWikidataEditat","nCasosNomWikidataEditat"
"Principat","Alt Camp",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Alt Camp_name-calle.tsv",2822130,"relation","Alt Camp",FALSE,7,0,0,0,0,0
"Principat","Alt Empordà",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Alt Empordà_name-calle.tsv",2177382,"relation","Alt Empordà",FALSE,7,0,1,4,0,0
"Principat","Alt Penedès",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Alt Penedès_name-calle.tsv",2809672,"relation","Alt Penedès",FALSE,7,0,0,0,0,0
"Principat","Alt Urgell",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Alt Urgell_name-calle.tsv",2810001,"relation","Alt Urgell",FALSE,7,0,0,0,0,0
"Principat","Alta Ribagorça",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Alta Ribagorça_name-calle.tsv",2810808,"relation","Alta Ribagorça",FALSE,7,0,0,0,0,0
"Principat","Anoia",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Anoia_name-calle.tsv",2808804,"relation","Anoia",FALSE,7,0,0,0,0,0
"Principat","Bages",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Bages_name-calle.tsv",2350331,"relation","Bages",FALSE,7,0,0,0,0,0
"Principat","Baix Camp",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Baix Camp_name-calle.tsv",2824935,"relation","Baix Camp",FALSE,7,0,0,0,0,0
"Principat","Baix Ebre",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Baix Ebre_name-calle.tsv",2826423,"relation","Baix Ebre",FALSE,7,0,0,0,0,0
"Principat","Baix Empordà",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Principat-Baix Empordà_name-calle.tsv",2805694,"relation","Baix Empordà",FALSE,7,0,0,0,0,0
