"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(81996);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"node"	2875841889	"Оселье"			""	"Ossélie (Smolensk), Ossélie"	"Ossélie (Smolensk)"	"Q4337579"	"official_name=деревня Оселье"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Оселье', 'official_name': 'деревня Оселье', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '2', 'population:date': '2010', 'wikidata': 'Q4337579', 'wikipedia': 'ru:Оселье (Угранский район)'}"
"node"	2798229413	"Вергово"			""	"Vergovo"	"Vergovo"	"Q4107563"	"official_name=деревня Вергово"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Вергово', 'official_name': 'деревня Вергово', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '1', 'population:date': '2010', 'wikidata': 'Q4107563', 'wikipedia': 'ru:Вергово'}"
"node"	2714617045	"Зиновино"			""	"Zinovino"	"Zinovino"	"Q4192167"	"official_name=деревня Зиновино"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Зиновино', 'official_name': 'деревня Зиновино', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '1', 'population:date': '2010', 'wikidata': 'Q4192167', 'wikipedia': 'ru:Зиновино'}"
"node"	2691767760	"Большевицы"			""	"Bolxevitsi"	"Bolxevitsi"	"Q4091933"	"official_name=деревня Большевицы"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'addr:subdistrict': 'Всходское сельское поселение', 'name': 'Большевицы', 'official_name': 'деревня Большевицы', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '15', 'population:date': '2010', 'wikidata': 'Q4091933', 'wikipedia': 'ru:Большевицы'}"
"node"	1399066334	"Бельдюгино"			""	"Beldiúguino"	"Beldiúguino"	"Q4083235"	"official_name=деревня Бельдюгино"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Бельдюгино', 'official_name': 'деревня Бельдюгино', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '28', 'population:date': '2010', 'wikidata': 'Q4083235', 'wikipedia': 'ru:Бельдюгино'}"
"node"	2184361791	"Зинеевка"			""	"Zinéievka"	"Zinéievka"	"Q4192132"	"official_name=деревня Зинеевка"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Зинеевка', 'official_name': 'деревня Зинеевка', 'official_status': 'ru:деревня', 'oktmo:user': 'yes', 'place': 'locality', 'population': '0', 'population:date': '2013', 'wikidata': 'Q4192132', 'wikipedia': 'ru:Зинеевка'}"
"node"	1406986331	"Плеснево"			""	"Plesnevo"	"Plesnevo"	"Q4364873"	"official_name=деревня Плеснево"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Плеснево', 'official_name': 'деревня Плеснево', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '2', 'population:date': '2010', 'source': 'kosmosnimki.ru', 'wikidata': 'Q4364873', 'wikipedia': 'ru:Плеснево'}"
"node"	2783287943	"Гречишное"			""	"Gretxíxnoie"	"Gretxíxnoie"	"Q4148793"	"official_name=деревня Гречишное"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Гречишное', 'official_name': 'деревня Гречишное', 'official_status': 'ru:деревня', 'oktmo:user': '66650414106', 'place': 'locality', 'population': '0', 'population:date': '2010', 'wikidata': 'Q4148793', 'wikipedia': 'ru:Гречишное'}"
"node"	1398630968	"Доброе"			""	"Dobroie"	"Dobroie"	"Q4163687"	"official_name=деревня Доброе"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Доброе', 'official_name': 'деревня Доброе', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '31', 'population:date': '2008', 'wikidata': 'Q4163687', 'wikipedia': 'ru:Доброе (Смоленская область)'}"
"node"	1406986328	"Корнюшково"			""	"Korniúixkovo"	"Korniúixkovo"	"Q4233443"	"official_name=деревня Корнюшково"	"{'addr:country': 'RU', 'addr:region': 'Смоленская область', 'name': 'Корнюшково', 'official_name': 'деревня Корнюшково', 'official_status': 'ru:деревня', 'place': 'isolated_dwelling', 'wikidata': 'Q4233443', 'wikipedia': 'ru:Корнюшково'}"
