"@type","@id","name","name:ca","wikidata","admin_level","informe","cmd","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat"
"relation",145195,"Республика Тыва","Tuvà","Q960",4,"exotopònims/Rússia/informes/informe-Rússia-Tuvà_wikidata.tsv","",4,4,4,4,FALSE
"relation",145454,"Иркутская область","Província d'Irkutsk","Q6585",4,"exotopònims/Rússia/informes/informe-Rússia-Província d'Irkutsk_wikidata.tsv","",15,5,15,5,FALSE
"relation",145729,"Бурятия","Buriàtia","Q6809",4,"exotopònims/Rússia/informes/informe-Rússia-Buriàtia_wikidata.tsv","",6,6,6,6,FALSE
"relation",145730,"Забайкальский край","Territori de Zabaikal","Q6838",4,"exotopònims/Rússia/informes/informe-Rússia-Territori de Zabaikal_wikidata.tsv","",0,0,0,0,TRUE
"relation",147166,"Амурская область","Província de l'Amur","Q6886",4,"exotopònims/Rússia/informes/informe-Rússia-Província de l'Amur_wikidata.tsv","",10,10,10,10,FALSE
"relation",147167,"Еврейская автономная область","Província Autònoma dels Hebreus","Q7730",4,"exotopònims/Rússia/informes/informe-Rússia-Província Autònoma dels Hebreus_wikidata.tsv","",0,0,0,0,TRUE
"relation",151223,"Хабаровский край","Territori de Khabàrovsk","Q7788",4,"exotopònims/Rússia/informes/informe-Rússia-Territori de Khabàrovsk_wikidata.tsv","",15,15,15,15,FALSE
"relation",151225,"Приморский край","Territori de Primórie","Q4341",4,"exotopònims/Rússia/informes/informe-Rússia-Territori de Primórie_wikidata.tsv","",18,17,18,17,FALSE
"relation",151228,"Магаданская область","Província de Magadan","Q7971",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Magadan_wikidata.tsv","",27,26,27,26,FALSE
"relation",151231,"Чукотский автономный округ","Txukotka","Q7984",4,"exotopònims/Rússia/informes/informe-Rússia-Txukotka_wikidata.tsv","",2,2,2,2,FALSE
"relation",151233,"Камчатский край","Territori de Kamtxatka","Q7948",4,"exotopònims/Rússia/informes/informe-Rússia-Territori de Kamtxatka_wikidata.tsv","",2,2,2,2,FALSE
"relation",151234,"Республика Саха (Якутия)","Sakhà","Q6605",4,"exotopònims/Rússia/informes/informe-Rússia-Sakhà_wikidata.tsv","",17,15,17,15,FALSE
"relation",155262,"Псковская область","Província de Pskov","Q2218",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Pskov_wikidata.tsv","",11,11,11,11,FALSE
"relation",176095,"Ленинградская область","Província de Leningrad","Q2191",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Leningrad_wikidata.tsv","",170,144,170,144,FALSE
"relation",190090,"Красноярский край","Territori de Krasnoiarsk","Q6563",4,"exotopònims/Rússia/informes/informe-Rússia-Territori de Krasnoiarsk_wikidata.tsv","",19,17,19,17,FALSE
"relation",190911,"Республика Хакасия","Khakàssia","Q6543",4,"exotopònims/Rússia/informes/informe-Rússia-Khakàssia_wikidata.tsv","",3,3,3,3,FALSE
"relation",191706,"Ямало-Ненецкий автономный округ","Iamàlia","Q6407",4,"exotopònims/Rússia/informes/informe-Rússia-Iamàlia_wikidata.tsv","",7,6,7,6,FALSE
"relation",253252,"Ингушетия","Ingúixia","Q5219",4,"exotopònims/Rússia/informes/informe-Rússia-Ingúixia_wikidata.tsv","",0,0,0,0,TRUE
"relation",253256,"Адыгея","Adiguèsia","Q3734",4,"exotopònims/Rússia/informes/informe-Rússia-Adiguèsia_wikidata.tsv","",10,10,10,10,FALSE
"relation",274048,"Ненецкий автономный округ","Nenètsia","Q2164",4,"exotopònims/Rússia/informes/informe-Rússia-Nenètsia_wikidata.tsv","",3,3,3,3,FALSE
"relation",337422,"Санкт-Петербург","Sant Petersburg","Q656",4,"exotopònims/Rússia/informes/informe-Rússia-Sant Petersburg_wikidata.tsv","",79,77,79,77,FALSE
"relation",393980,"Республика Карелия","República de Carèlia","Q1914",4,"exotopònims/Rússia/informes/informe-Rússia-República de Carèlia_wikidata.tsv","",3,3,3,3,FALSE
"relation",394235,"Сахалинская область","Província de Sakhalín","Q7797",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Sakhalín_wikidata.tsv","",4,4,4,4,FALSE
"relation",1574364,"Севастополь","Sebastòpol","Q2659239",4,"exotopònims/Rússia/informes/informe-Rússia-Sebastòpol_wikidata.tsv","",8,8,8,8,FALSE
"relation",2095259,"Тверская область","Província de Tver","Q2292",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Tver_wikidata.tsv","",12,9,12,9,FALSE
"relation",2099216,"Мурманская область","Província de Múrmansk","Q1759",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Múrmansk_wikidata.tsv","",7,7,7,7,FALSE
"relation",3788485,"Севастополь","Sebastòpol","Q17436425",4,"exotopònims/Rússia/informes/informe-Rússia-Sebastòpol_wikidata.tsv","",8,8,8,8,FALSE
"relation",3795586,"Республика Крым","República de Crimea","Q15966495",4,"exotopònims/Rússia/informes/informe-Rússia-República de Crimea_wikidata.tsv","",37,29,37,29,FALSE
