"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","type","id","name","parcial","admin_level","historic:admin_level","informe"
"Franja","Baix Aragó",1,1,0,0,FALSE,"relation",6630546,"Bajo Aragón",TRUE,7,NA,"PPCC/avenida-avinguda/informes/informe-Franja-Baix Aragó_name-avenida.tsv"
"Illes","Migjorn",1,1,0,0,FALSE,"relation",2174950,"Migjorn",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Illes-Migjorn_name-avenida.tsv"
"Illes","Raiguer",1,1,0,0,FALSE,"relation",2175689,"Raiguer",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Illes-Raiguer_name-avenida.tsv"
"Principat","Alt Urgell",1,1,0,0,FALSE,"relation",2810001,"Alt Urgell",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Alt Urgell_name-avenida.tsv"
"Principat","Bages",1,1,0,0,FALSE,"relation",2350331,"Bages",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Bages_name-avenida.tsv"
"Principat","Baix Empordà",1,1,0,0,FALSE,"relation",2805694,"Baix Empordà",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Baix Empordà_name-avenida.tsv"
"Principat","Barcelonès",1,1,0,0,FALSE,"relation",2417889,"Barcelonès",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Barcelonès_name-avenida.tsv"
"Andorra","Andorra la Vella",0,0,0,0,TRUE,"relation",2804753,"Andorra la Vella",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Andorra-Andorra la Vella_name-avenida.tsv"
"Andorra","Canillo",0,0,0,0,TRUE,"relation",2804754,"Canillo",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Andorra-Canillo_name-avenida.tsv"
"Andorra","Encamp",0,0,0,0,TRUE,"relation",2804755,"Encamp",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Andorra-Encamp_name-avenida.tsv"
"Andorra","Escaldes-Engordany",0,0,0,0,TRUE,"relation",2804756,"Escaldes-Engordany",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Andorra-Escaldes-Engordany_name-avenida.tsv"
"Andorra","La Massana",0,0,0,0,TRUE,"relation",2804757,"La Massana",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Andorra-La Massana_name-avenida.tsv"
"Andorra","Ordino",0,0,0,0,TRUE,"relation",2804758,"Ordino",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Andorra-Ordino_name-avenida.tsv"
"Andorra","Sant Julià de Lòria",0,0,0,0,TRUE,"relation",2804759,"Sant Julià de Lòria",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Andorra-Sant Julià de Lòria_name-avenida.tsv"
"CatNord","Alta Cerdanya",0,0,0,0,TRUE,"relation",13433224,"Alta Cerdanya",FALSE,NA,7,"PPCC/avenida-avinguda/informes/informe-CatNord-Alta Cerdanya_name-avenida.tsv"
"CatNord","Capcir",0,0,0,0,TRUE,"relation",13433227,"Capcir",FALSE,NA,7,"PPCC/avenida-avinguda/informes/informe-CatNord-Capcir_name-avenida.tsv"
"CatNord","Conflent",0,0,0,0,TRUE,"relation",13433226,"Conflent",FALSE,NA,7,"PPCC/avenida-avinguda/informes/informe-CatNord-Conflent_name-avenida.tsv"
"CatNord","Rosselló",0,0,0,0,TRUE,"relation",13433228,"Rosselló",FALSE,NA,7,"PPCC/avenida-avinguda/informes/informe-CatNord-Rosselló_name-avenida.tsv"
"CatNord","Vallespir",0,0,0,0,TRUE,"relation",13433225,"Vallespir",FALSE,NA,7,"PPCC/avenida-avinguda/informes/informe-CatNord-Vallespir_name-avenida.tsv"
"Illes","Eivissa",0,0,0,0,TRUE,"relation",2181664,"Eivissa",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Illes-Eivissa_name-avenida.tsv"
"Illes","Formentera",0,0,0,0,TRUE,"relation",6914328,"Formentera",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Illes-Formentera_name-avenida.tsv"
"Illes","Pla de Mallorca",0,0,0,0,TRUE,"relation",2175937,"Pla de Mallorca",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Illes-Pla de Mallorca_name-avenida.tsv"
"Múrcia","el Carxe",0,0,0,0,TRUE,"relation",11755232,"El Carche",FALSE,NA,NA,"PPCC/avenida-avinguda/informes/informe-Múrcia-el Carxe_name-avenida.tsv"
"PV","el Comtat",0,0,0,0,TRUE,"relation",1692441,"el Comtat",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-el Comtat_name-avenida.tsv"
"PV","els Ports",0,0,0,0,TRUE,"relation",1110951,"els Ports",TRUE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-els Ports_name-avenida.tsv"
"Principat","Alt Camp",0,0,0,0,TRUE,"relation",2822130,"Alt Camp",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Alt Camp_name-avenida.tsv"
"Principat","Alt Empordà",0,0,0,0,TRUE,"relation",2177382,"Alt Empordà",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Alt Empordà_name-avenida.tsv"
"Principat","Alt Penedès",0,0,0,0,TRUE,"relation",2809672,"Alt Penedès",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Alt Penedès_name-avenida.tsv"
"Principat","Alta Ribagorça",0,0,0,0,TRUE,"relation",2810808,"Alta Ribagorça",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Alta Ribagorça_name-avenida.tsv"
"Principat","Anoia",0,0,0,0,TRUE,"relation",2808804,"Anoia",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Anoia_name-avenida.tsv"
"Principat","Baix Camp",0,0,0,0,TRUE,"relation",2824935,"Baix Camp",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Baix Camp_name-avenida.tsv"
"Principat","Baix Ebre",0,0,0,0,TRUE,"relation",2826423,"Baix Ebre",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Baix Ebre_name-avenida.tsv"
"Principat","Baix Llobregat",0,0,0,0,TRUE,"relation",2809457,"Baix Llobregat",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Baix Llobregat_name-avenida.tsv"
"Principat","Baix Penedès",0,0,0,0,TRUE,"relation",2822410,"Baix Penedès",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Baix Penedès_name-avenida.tsv"
"Principat","Berguedà",0,0,0,0,TRUE,"relation",358838,"Berguedà",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Berguedà_name-avenida.tsv"
"Principat","Cerdanya",0,0,0,0,TRUE,"relation",2805972,"Cerdanya",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Principat-Cerdanya_name-avenida.tsv"
