"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Palau Finestres"	"Palau Finestres"						
"Palau Meca"	"Palau Meca"						
"Palau Aguilar"	"Palau Aguilar"						
"mas de Montoliu"	"mas de Montoliu"						
"Mas de Gargant"	"Mas de Gargant"						
"Mas de Sanaüja"	"Mas de Sanaüja"						
"Mas de Vela"	"Mas de Vela"						
"Mas d'Arminyà"	"Mas d'Arminyà"						
"Mas de les Roques Llises"	"Mas de les Roques Llises"						
"Mas de la Lloma"	"Mas de la Lloma"						
"Mas de les Calçades"	"Mas de les Calçades"						
"Ajuntament de Xodos"	"Ajuntament de Xodos"						
"Mas de Montoliu"	"Mas de Montoliu"						
"Mas del Torreter"	"Mas del Torreter"						
"Mas de les Penyes"	"Mas de les Penyes"						
"Mas del Roig"	"Mas del Roig"						
"Mas del Marinet"	"Mas del Marinet"						
"Mas d'Otrelles"	"Mas d'Otrelles"						
"Mas de la Carrascosa"	"Mas de la Carrascosa"						
"Mas del Cego"	"Mas del Cego"						
"Mas de Sergi"	"Mas de Sergi"						
"Mas de Llamba de Baix"	"Mas de Llamba de Baix"						
"Mas de la Noguereta"	"Mas de la Noguereta"						
"Mas de Llamba"	"Mas de Llamba"						
"Mas de la Romera de Baix"	"Mas de la Romera de Baix"						
"Mas de la Romera de Dalt"	"Mas de la Romera de Dalt"						
"Mas de Paulo"	"Mas de Paulo"						
"Mas de Cotna"	"Mas de Cotna"						
"Mas d'Aicart de Dalt"	"Mas d'Aicart de Dalt"						
"Mas dels Oms"	"Mas dels Oms"						
"Mas del Curro"	"Mas del Curro"	"El Maset"	"El Maset"				
"Mas de l'Estepar"	"Mas de l'Estepar"						
"Mas de Paleta"	"Mas de Paleta"						
"Mas de Griva"	"Mas de Griva"						
"Mas de Caixó"	"Mas de Caixó"						
"Mas del Sord"	"Mas del Sord"						
"Mas dels Col·legials"	"Mas dels Col·legials"						
"Mas de la Fonteta"	"Mas de la Fonteta"						
"Mas de Barranc"	"Mas de Barranc"						
"Mas de Blau"	"Mas de Blau"						
"Mas de la Canaleja"	"Mas de la Canaleja"						
"Mas del Cabeço"	"Mas del Cabeço"						
"Mas de Malena"	"Mas de Malena"						
"Mas de les Pomeres"	"Mas de les Pomeres"						
"Mas dels Avellaners"	"Mas dels Avellaners"						
"Mas de Sant Cristòfol"	"Mas de Sant Cristòfol"						
"Mas de Miravet"	"Mas de Miravet"						
"Mas de Joan del Molí"	"Mas de Joan del Molí"						
"Mas de la Vega"	"Mas de la Vega"						
"Mas Nou de la Vega"	"Mas Nou de la Vega"						
"Mas de la Carrasca"	"Mas de la Carrasca"						
"Mas del Carrascal"	"Mas del Carrascal"						
"Mas de Baix la Roca"	"Mas de Baix la Roca"						
"Mas de la Font"	"Mas de la Font"						
"Mas del Pou"	"Mas del Pou"						
"Mas de la Solana"	"Mas de la Solana"						
"Mas de Morratges"	"Mas de Morratges"						
"Mas del Tossal"	"Mas del Tossal"						
"Mas de Salvany"	"Mas de Salvany"						
"Mas de Lluís"	"Mas de Lluís"						
"Mas de l'Ombria"	"Mas de l'Ombria"						
"Mas d'Aleixos"	"Mas d'Aleixos"						
"Mas del Regall"	"Mas del Regall"						
"Mas de Castillo"	"Mas de Castillo"						
"Mas del Torrelló"	"Mas del Torrelló"						
"Mas del Caro"	"Mas del Caro"						
"Mas de la Pastora"	"Mas de la Pastora"						
"Mas del Curro"	"Mas del Curro"						
"Mas el Pou"	"Mas el Pou"						
"Mas de Cinto"	"Mas de Cinto"						
"Mas de l'Advocat"	"Mas de l'Advocat"						
"Mas de la Blaia"	"Mas de la Blaia"						
"Mas de la Seno"	"Mas de la Seno"						
"Mas de Roures"	"Mas de Roures"						
"Mas de Juncosa"	"Mas de Juncosa"						
"Mas de la Sena"	"Mas de la Sena"						
"Mas d'en Bou"	"Mas d'en Bou"						
"Mas del Botiguer"	"Mas del Botiguer"						
"Mas de Campos"	"Mas de Campos"						
"Mas de Pilons"	"Mas de Pilons"						
"Mas de Comare"	"Mas de Comare"						
"Mas de Fernandet"	"Mas de Fernandet"						
"Mas de Patxero"	"Mas de Patxero"						
"Mas de Furó"	"Mas de Furó"						
"Mas de Catalá"	"Mas de Català"						
"Mas de Català"	"Mas de Català"						
"Mas de Capa"	"Mas de Capa"						
"Mas del Arco"	"Mas del Arco"						
"Mas de Gata"	"Mas de Gata"						
"Mas de l'Obrera"	"Mas de l'Obrera"						
"Mas de Rata"	"Mas de Rata"						
"Mas de Lluna"	"Mas de Lluna"						
"Mas del Panxut"	"Mas del Panxut"						
"Mas de Teuleria"	"Mas de Teuleria"						
"Mas de Pons"	"Mas de Pons"						
"Mas de Garrido"	"Mas de Garrido"						
"Mas Pou de Beca"	"Mas Pou de Beca"						
"Mas de Tirana"	"Mas de Tirana"						
"Mas de Julià"	"Mas de Julià"						
"Mas de Belladona"	"Mas de Belladona"						
"Mas de Bernarda"	"Mas de Bernarda"						
"Mas de Fau"	"Mas de Fau"						
"Mas Pujol"	"Mas Pujol"						
"Mas Solés"	"Mas Solés"						
"Mas Pinell"	"Mas Pinell"						
"Mas Déu"	"Mas Déu"						
"Mas Blanc"	"Mas Blanc"						
"Castell del Montgrí"	"Castell del Montgrí"						
"Mas Pagesa"	"Mas Pagesa"						
"Mas Llopis"	"Mas Llopis"						
"Mas la Capellana"	"Mas la Capellana"						
"Mas Pla"	"Mas Pla"						
"Mas Pinell de Baix"	"Mas Pinell de Baix"						
"Mas Pinell de Dalt"	"Mas Pinell de Dalt"						
"Mas Ferrer"	"Mas Ferrer"						
"Mas Nou"	"Mas Nou"						
"Mas de l'Arbre"	"Mas de l'Arbre"						
"Mas Calafat"	"Mas Calafat"						
"Mas d'en Calbet"	"Mas d'en Calbet"						
"Mas Borrat"	"Mas Borrat"						
"Mas Pagès"	"Mas Pagès"						
"Mas Bruguera"	"Mas Bruguera"						
"Mas Roig"	"Mas Roig"						
"Platja de la Fonollera"	"Platja de la Fonollera"						
"Platja de la Platera"	"Platja de la Platera"						
"Mas de les Palmeres"	"Mas de les Palmeres"						
"Mas Boixó"	"Mas Boixó"						
