"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Carrer de Rosalía de Castro"	"Carrer de Rosalía de Castro"						
"Carrer de Caterina Albert"	"Carrer de Caterina Albert"						
"Carrer de Sant Eugeni"	"Carrer de Sant Eugeni"						
"Carrer Rosalía de Castro"	"Carrer Rosalía de Castro"						
"Carrer de Juan Ramón Jiménez"	"Carrer de Juan Ramón Jiménez"						
"Carrer de Colom"	"Carrer de Colom"						
"Carrer de l'Aprestadora"	"Carrer de l'Aprestadora"						
"Carrer dels Joncs"	"Carrer dels Joncs"						
"Carrer de la Fortuna"	"Carrer de la Fortuna"						
"Carrer de Joan de Joane"	"Carrer de Joan de Joane"						
"Carrer de Joan de Joanes"	"Carrer de Joan de Joanes"						
"Plaça de Quart"	"Plaça de Quart"						
"Carrer de Badalona"	"Carrer de Badalona"						
"Carrer del Progrés"	"Carrer del Progrés"						
"Carrer de Llançà"	"Carrer de Llançà"						
"Carrer de Mas"	"Carrer de Mas"						
"Carrer de Vallparda"	"Carrer de Vallparda"						
"Carrer de l'Alegria"	"Carrer de l'Alegria"						
"Carrer de Castelao"	"Carrer de Castelao"						
"Carrer de Martí i Blasi"	"Carrer de Martí i Blasi"						
"Carrer de Jerusalem"	"Carrer de Jerusalem"						
"Carrer de Ferrer i Guàrdia"	"Carrer de Ferrer i Guàrdia"						
"Carrer de Pi i Margall"	"Carrer de Pi i Margall"						
"Carrer de Lavínia"	"Carrer de Lavínia"						
"Carrer de Santa Eulàlia"	"Carrer de Santa Eulàlia"						
"Carrer de Santiago Apòstol"	"Carrer de Santiago Apòstol"						
"Carrer de Narcís Monturiol"	"Carrer de Narcís Monturiol"						
"Carrer de Sant Pius X"	"Carrer de Sant Pius X"						
"Avinguda del Torrent Gornal"	"Avinguda del Torrent Gornal"						
"Carrer del Montseny"	"Carrer del Montseny"						
"Carrer de la Mare de Déu dels Desemparats"	"Carrer de la Mare de Déu dels Desemparats"						
"Carrer de Mossèn Jaume Busquet"	"Carrer de Mossèn Jaume Busquet"						
"Plaça de Blas Infante"	"Plaça de Blas Infante"						
"Carrer del Pintor Sorolla"	"Carrer del Pintor Sorolla"						
"Carrer de Ca n'Alòs"	"Carrer de Ca n'Alòs"						
"Carrer del Treball"	"Carrer del Treball"						
"Carrer de Cortada"	"Carrer de Cortada"						
"Carrer de les Muses"	"Carrer de les Muses"						
"Carrer de la Joventut"	"Carrer de la Joventut"						
"Plaça de Sant Jordi"	"Plaça de Sant Jordi"						
"Carrer de la Mare de Déu de la Mercè"	"Carrer de la Mare de Déu de la Mercè"						
"Carrer de Pau Sans"	"Carrer de Pau Sans"						
"Carrer de la Ciutat Comtal"	"Carrer de la Ciutat Comtal"						
"Carrer de Joan XXIII"	"Carrer de Joan XXIII"						
"Plaça de les Palmeres"	"Plaça de les Palmeres"						
"Carrer del Doctor Martí i Julià"	"Carrer del Doctor Martí i Julià"						
"Carrer de Clara Campoamor"	"Carrer de Clara Campoamor"						
"Plaça de Frederica Montseny"	"Plaça de Frederica Montseny"						
"Carrer del Llobregat"	"Carrer del Llobregat"						
"Carrer de Jansana"	"Carrer de Jansana"						
"Carrer de Rosell"	"Carrer de Rosell"						
"Carrer del Garraf"	"Carrer del Garraf"						
